Number,Description,Gauge
44,"locomotive, missile launcher, U.S. Army",O
45,"locomotive, missile launcher, U.S.M.C.",0-27
88,"controller, reversing",
97,"coal elevator, operating",
109,"trestle set, 12 piece",
110,"trestle set, graduated",
112,"switches, pair",O
114,engine house,HO
147,"controller, horn or whistle",
164,lumber shed,
167,whistle controller,
175,rocket launcher,
202,"locomotive, diesel, A unit, UP Alco, powered",0-27
212,"locomotive, diesel, A unit, U.S.M.C Alco, powered",0-27
216,"locomotive, diesel, A unit, Burlington Alco, powered",0-27
221,"locomotive, diesel, A unit, Denver & Rio Grande Alco, powered",0-27
222,"locomotive, diesel, A unit, Rio Grande Alco, powered",0-27
224,locomotive,O
225,"locomotive, diesel, A unit, C & O Alco, powered",0-27
229,"locomotive, diesel, A unit, M & SL Alco, powered",0-27
230,"locomotive, diesel, A unit, C & O Alco, powered",0-27
231,"locomotive, diesel, A unit, Rock Island Alco, powered",0-27
232,"locomotive, diesel, A unit, New Haven Alco, powered",0-27
233,"locomotive, 2-4-2",0-27
236,"locomotive, 2-4-2",0-27
237,"locomotive, 2-4-2",0-27
238,"locomotive, 2-4-2",0-27
239,"locomotive, 2-4-2",0-27
242,"locomotive, 2-4-2",0-27
243,"locomotive, 2-4-2",0-27
244,"locomotive, 2-4-2",0-27
246,"locomotive, 2-4-2",0-27
247,"locomotive, 2-4-2, blue-striped",0-27
249,"locomotive, red-striped, 2-4-2",0-27
250,"locomotive, 2-4-2",
260,"bumper, illuminated",
264,"forklift loader, operating",
342,culvert loader,
345,culvert unloader,
362,barrel loader,
364,"lumber loader, conveyor",
400,"locomotive, diesel Budd RDC car, passenger car",O
404,"locomotive, diesel Budd RDC car, mail-baggage ",O
448,"range set, millile firing, with 6448 exploding boxcar",
456,coal ramp,
464,saw mill,
470,missile launching platform with 6470 exploding boxcar,
520,"locomotive, GE box cab",
600,"locomotive, diesel switcher, MKT NW-2",0-27
601,"locomotive, diesel switcher, Seaboard NW-2",O
602,"locomotive, diesel switcher, Seaboard NW-2",0-27
610,"locomotive, diesel switcher, Erie NW-2 ",0-27
611,"locomotive, diesel switcher, Jersey Central NW-2",0-27
613,"locomotive, diesel, switcher, Union Pacific NW-2",0-27
614,"locomotive, diesel, switcher, Alaskan NW-2",0-27
616,"locomotive, diesel, switcher, Santa Fe NW-2",O
617,"locomotive, diesel, switcher, Santa Fe NW-2",O
621,"locomotive, diesel NW-2 switcher, Jersey Central",0-27
622,"locomotive, diesel switcher SF bell ringing",O
623,"locomotive, diesel switcher SF",O
625,"locomotive, diesel, center cab, Lehigh Valley",0-27
627,"locomotive, diesel, center cab, Lehigh Valley",0-27
628,"locomotive, diesel, center cab, Northern Pacific",0-27
629,"locomotive, diesel, center cab, Burlington",0-27
633,"locomotive, diesel, switcher, Santa Fe NW-2",0-27
634,"locomotive, diesel, switcher, Santa Fe NW-2",0-27
637,"locomotive, 2-6-4",O
645,"locomotive, diesel, switcher, Union Pacific NW-2",0-27
646,"locomotive, 4-6-4",O
665,"locomotive, 4-6-4, w/ feedwater heater",O
671,"locomotive, turbine 6-8-6",O
671RR,"locomotive, turbine 6-8-6, 1952 only, separate sale",O
675,"locomotive, 2-6-2 (1949), or 2-6-4 (1952)",O
681,"locomotive, turbine, 6-8-6",O
682,"locomotive, turbine, 6-8-6, lubricator linkage",O
685,"locomotive, 4-6-4",O
726,"locomotive, Berkshire, 2-8-4",O
726RR,"locomotive, Berkshire, 2-8-4, 1952 only, separate sale",O
736,"locomotive, Berkshire, 2-8-4",O
746,"locomotive, 4-8-4, N & W",O
773,"locomotive, 4-6-4",O
943,"ammo dump, exploding",
