Number,Year,Gauge,Price (Retail),Description,Track,Transformer
500,1955,0-27,$19.95 ,"Freight, no whistle","8 c, 1 s, 6029",1014
501,1955,0-27,$22.50 ,"Freight, no whistle","8 c, 1 s, 6029",1014
502,1955,0-27,$29.95 ,"Freight, no whistle","8 c, 1 s, 6029",1014
503,1955,0-27,$29.95 ,"Freight, no whistle","8 c, 1 s, 6029",1014
504,1955,0-27,$35.00 ,"Freight, no whistle, smoke","8 c, 3 s, 6009",1043
505,1955,0-27,$39.95 ,"Freight, horn","8 c, 3 s, 6019",1033
506,1955,0-27,$39.95 ,"Freight, no whistle","8 c, 3 s, 6029",1033
507,1955,0-27,$49.95 ,"Freight, whistle, smoke","8 c, 3 s, 6019",1033
508,1955,0-27,$49.95 ,"Passenger, horn","8 c, 3 s, 6019",1033
509,1955,0-27,$49.95 ,"Freight, horn","8 c, 5 s, 6019",1033
510,1955,0-27,$59.95 ,"Passenger, horn","8 c, 3 s, 6019",1033
511,1955,0-27,$59.95 ,"Freight, whistle, smoke","8 c, 5 s, 6019",1033
512,1955,0-27,$65.00 ,"Passenger, whistle, smoke","8 c, 5 s, 6019",1033
513,1955,0-27,$65.00 ,"Freight, horn","8 c, 5 s, 6019",1033
514,1955,0-27,$69.95 ,"Freight, whistle, smoke","8 c, 5 s, 6019",1033
515,1955,0-27,$29.95 ,"Freight, no whistle, smoke","8 c, 1 s, 6029",1014
700,1956,0-27,$25.00 ,Freight,"8 c, 1 s, 6029",1015
701,1956,0-27,$29.95 ,Freight,"8 c, 3 s, 6029",1015
702,1956,0-27,$33.50 ,"Freight, no whistle, smoke","8 c, 1 s, 6029",1015
703,1956,0-27,$35.00 ,"Freight, no whistle","8 c, 3 s, 6029",1015
704,1956,0-27,$39.95 ,"Freight, horn","8 c, 3 s, 6029",1053
705,1956,0-27,$39.95 ,Passenger,"8 c, 3 s, 6029",1015
706,1956,0-27,$49.95 ,"Freight, horn","8 c, 3 s, 6019",1053
707,1956,0-27,$49.95 ,"Freight, whistle, smoke","8 c, 3 s, 6019",1053
