Num,Category,Description,Last updated,Filename,Image
L41,locomotives,41      US Army Switcher,,,
L42,locomotives,42      Picatinny Switcher,,,
L44,locomotives,44      USA Missile Launcher,,,
L45,locomotives,45      USMC Missile Launcher,,,
L50,locomotives,50      Gang Car,,,
L51,locomotives,51       Navy Switcher,,,
L52,locomotives,52       Fire Fighting Car,,,
L53,locomotives,53       Rio Grande Switcher,,,
L54,locomotives,54       Ballast Tamper,,,
L55,locomotives,55       Tie Jector,,,
L56,locomotives,56       MSL Switcher,,,
L57,locomotives,57       AEC Switcher,,,
L58,locomotives,58       Rotary Plow,,,
L59,locomotives,59       Minuteman Switcher,,,
L60,locomotives,60       Trolley,,,
L65,locomotives,65       Hand Car,,,
L68,locomotives,68       Executive Inspection Car,,,
L69,locomotives,69       Maintenance Car,,,
L200,locomotives,200     Alco,,,
L202,locomotives,202     UP Alco FA-2,,,
L204,locomotives,204     SF Alco FA-2,,,
L205,locomotives,205    MP Alco FA-2,,,
L208,locomotives,208    SF Alco FA-2,,,
L209,locomotives,209    NH Alco FA-2,,,
L210,locomotives,210    Texas Special Alco FA-2,,,
L211,locomotives,211    Texas Special Alco,,,
L212P,locomotives,212P    MC Alco FA-2,,,
L212A,locomotives,212A    Alco Diesel,,,
L216,locomotives,216    Burlington Alco FA-2,,,
L217P,locomotives,217P    B&M Alco,,,
L218P,locomotives,218P    SF Alco FA-2,,,
L219P,locomotives,219P    MP Alco,,,
L220,locomotives,220    SF Alco FA-2,,,
L221,locomotives,221    NYC Empire State,,,
L222,locomotives,222     Rio Grande Alco,,,
L223,locomotives,223    Santa Fe Alco,,,
L224P,locomotives,224P    Alco,,,
L225,locomotives,225    C&O Alco FA,,,
L226,locomotives,226    B&M Alco FA,,,
L227,locomotives,227    CN Alco,,,
L228,locomotives,228    CN Alco FA,,,
L229,locomotives,229    M&SL Alco FA,,,
L230,locomotives,230    C&O Alco,,,
L231,locomotives,231    Rock Island Alco,,,
L232,locomotives,232    New Haven Alco,,,
L233,locomotives,233    Scout,,,
L235,locomotives,235    Scout,,,
L236,locomotives,236    Scout,,,
L237,locomotives,237    Scout,,,
L238,locomotives,238    Scout,,,
L241,locomotives,241    Scout,,,
L242,locomotives,242    Scout,,,
L243,locomotives,243    Scout,,,
L244,locomotives,244    Scout,,,
L245,locomotives,245    Scout,,,
L246,locomotives,246    Scout,,,
L247,locomotives,247    B&O Scout,,,
L248,locomotives,248    Scout,,,
L249,locomotives,249    Pa Scout,,,
L250,locomotives,250    Pa Scout,,,
L400,locomotives,400    Budd Rail Car-1,,,
L404,locomotives,404    Budd Rail Car-4,,,
